Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_2fe51fed-7730-4881-89fe-8eb0c5295be7.htm?adId=32801&adType=41,2.49L,2013,"44,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
2nd owner, 44k km — papers are clean on this Polo.
Price dropped ₹50k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"44,000 km
Below avg",,Petrol,Manual,2nd Owner
Maruti Suzuki Celerio ZXI Optional,https://www.cardekho.com/used-car-details/used-Maruti-celerio-zxi-optional-cars-Kolkata_fb25f308-1f03-4ade-84ad-de431467ff0f.htm,4.25L,2021,"45,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — documents are clean on this Celerio.
Maruti service is easy to find.
Read full report",₹4.25 Lakh,"45,000 km","EMI from ₹10,549/mo",Petrol,Manual,1st Owner
Nissan Magnite XV,https://www.cardekho.com/used-car-details/used-Nissan-magnite-xv-cars-Kolkata_87b45bed-1179-4e07-a92e-b4215afa91a1.htm,4.61L,2022,"33,606 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
2nd owner, 34k km — papers are clean on this Magnite.
300-point inspection done. Warranty included.
Read full report",₹4.61 Lakh,"33,606 km
Below avg","EMI from ₹11,446/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Ciaz VXi Plus,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-vxi-plus-cars-Kolkata_88273ed4-db2f-40d2-9415-738d642f7583.htm,3.35L,2014,"59,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 59k km — papers are clean on this Ciaz.
Maruti service is available in almost every city and town.
Read full report",₹3.35 Lakh,"59,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Alto K10 VXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-cars-Kolkata_f4c61115-fbe5-403f-a713-ad46dc05dc99.htm?adId=33058&adType=41,2.51L,2017,"46,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 46k km — documents are clear on this Alto K10.
Simple to run, easy to park.
Read full report",₹2.51 Lakh,"46,000 km","EMI from ₹7,776/mo",Petrol,Manual,1st Owner
Hyundai Xcent 1.2 VTVT S,https://www.cardekho.com/used-car-details/used-Hyundai-xcent-12-vtvt-s-cars-Kolkata_8e997218-00b6-46b5-99c6-770d7f277518.htm,2.91L,2015,"9,275 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
BELOW MARKET
1st owner, 9k km — papers are clean on this Xcent.
Only 9k km — lower than 98% of similar Xcents on CarDekho.
Read full report",₹2.91 Lakh,"9,275 km
Below avg","EMI from ₹23,543/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_4fd28bbb-0b0c-4a6f-bd9a-5ab87b325562.htm,2.40L,2013,"52,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
BELOW MARKET
1st owner, 52k km — papers are clean on this Swift.
Comprehensive insurance — valid till April 2027.
Read full report",₹2.40 Lakh,"52,000 km",,Petrol,Manual,1st Owner
Honda Amaze VX Petrol,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-petrol-cars-Kolkata_c85e6e24-952d-4915-9aa8-6dcff67f325d.htm,4.85L,2021,"45,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — history looks clean on this Amaze.
Simple to run, easy to park.
Read full report",₹4.85 Lakh,"45,000 km
Below avg","EMI from ₹12,038/mo",Petrol,Manual,1st Owner
Hyundai Verna SX Opt Turbo,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-opt-turbo-cars-Kolkata_f4a04a3b-4bda-4bfa-a87e-25ded4fcaee1.htm?adId=32208&adType=41,12.50L,2023,"39,000 kms",Petrol,Manual,"Ghugudanga, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering, 39k km — key checks pass on this Verna.
Simple to run, easy to park.
Read full report",₹12.50 Lakh,"39,000 km","EMI from ₹31,026/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno Zeta,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cars-Kolkata_ceff0389-889e-4b2c-951e-2c849ec0b684.htm,4.73L,2020,"56,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident — 56k km on this Baleno.
Simple to run, easy to park.
Read full report",₹4.73 Lakh,"56,000 km","EMI from ₹11,740/mo",Petrol,Manual,2nd Owner
Kia Seltos GTX Plus,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-Kolkata_f4c17db5-05e2-4c9e-9dd8-36f540a27baa.htm,8.38L,2019,"30,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
BELOW MARKET
2nd owner, no accident — 30k km is normal for this Seltos.
Kia Seltos holds value well — a strong SUV resale pick.
Read full report",₹8.38 Lakh,"30,000 km
Below avg","EMI from ₹20,800/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Wagon R VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-cars-Kolkata_194535ce-7f5c-406a-a8c4-3759ffc2c3ae.htm,4.95L,2024,"19,238 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — documents are clean on this Wagon R.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹4.95 Lakh,"19,238 km
Below avg","EMI from ₹12,283/mo",Petrol,Manual,1st Owner
Jaguar XF 2.0 Petrol Portfolio,https://www.cardekho.com/used-car-details/used-Jaguar-xf-20-petrol-portfolio-cars-Kolkata_3889bae5-ad51-438f-ac50-74f9142a7075.htm?adId=32131&adType=41,16L,2017,"40,000 kms",Petrol,Automatic,"Canal Circular Road, Phool Bagan, Kankurgachi, Kolkata","AI Expert
GREAT PRICE
4th owner, no accident, 40k km — records are clear on this XF.
Simple to run, easy to park.
Read full report",₹16 Lakh,"40,000 km","EMI from ₹49,567/mo",Petrol,Automatic,4th Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Honda City V MT,https://www.cardekho.com/used-car-details/used-Honda-city-v-mt-cars-Kolkata_51c59e4c-6b98-4b34-b9d6-84c67b8bec82.htm,5.99L,2020,"28,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 28k km — documents are clean on this City.
Honda City holds strong resale value — easy to sell when you upgrade.
Read full report",₹5.99 Lakh,"28,000 km
Below avg","EMI from ₹14,871/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno 1.2 Delta,https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-Kolkata_f17f14f6-4503-4299-b863-ef12de47c756.htm,3.85L,2018,"38,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — ownership looks clean on this Baleno.
Simple to run, easy to park.
Read full report",₹3.85 Lakh,"38,000 km
Below avg","EMI from ₹9,556/mo",Petrol,Manual,1st Owner
Honda City VX MT,https://www.cardekho.com/used-car-details/used-Honda-city-vx-mt-cars-Kolkata_0d8e7e8c-82da-4485-a5cf-8b4deff06a44.htm,6.99L,2021,"33,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
2nd owner, 33k km — key checks pass on this City.
Honda City holds strong resale value — easy to sell when you upgrade.
Read full report",₹6.99 Lakh,"33,000 km
Below avg","EMI from ₹17,350/mo",Petrol,Manual,2nd Owner
Jeep Meridian Limited Opt AT 4x4 BSVI,https://www.cardekho.com/used-car-details/used-Jeep-meridian-limited-opt-at-4x4-bsvi-cars-Kolkata_ef942e41-6366-428e-96e3-421d1385abd4.htm?adId=33119&adType=41,28L,2023,"50,000 kms",Diesel,Automatic,"Elliot Road, Kolkata","AI Expert
FAIR PRICE
2nd owner, 50k km — papers are clean on this Meridian.
Read the full verdict before you decide.
Read full report",₹28 Lakh,"50,000 km","EMI from ₹69,497/mo",Diesel,Automatic,2nd Owner
Skoda Slavia 1.5 TSI Style AT BSVI,https://www.cardekho.com/used-car-details/used-Skoda-slavia-15-tsi-style-at-bsvi-cars-Kolkata_9e4cfe67-aadc-498f-9343-399fec35ef3d.htm,10L,2022,"23,787 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 24k km — records look solid on this Slavia.
Skoda service is easy to find.
Read full report",₹10 Lakh,"23,787 km
Below avg","EMI from ₹24,821/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zdi-plus-dual-tone-cars-Kolkata_4a5fc93b-cf87-48a3-ac31-f7170416f8e7.htm,5.50L,2019,"54,000 kms",Diesel,Manual,"Sarat Bose Road, Kolkata","AI Expert
GREAT PRICE
2nd owner, 54k km — records look solid for this Vitara Brezza.
Price dropped ₹39k — now at ₹5.5L.
Read full report",₹5.50 Lakh,"54,000 km","EMI from ₹13,652/mo",Diesel,Manual,2nd Owner
Honda City ZX CVT,https://www.cardekho.com/used-car-details/used-Honda-city-zx-cvt-cars-Kolkata_4aa8d5b0-3a30-480e-bfcf-d233357ce2fb.htm,7.99L,2022,"17,000 kms",Petrol,Automatic,"Kalighat, Kolkata","AI Expert
BELOW MARKET
1st owner, 17k km — history is traceable on this City.
Only 17k km — lower than 88% of similar Citys on CarDekho.
Read full report",₹7.99 Lakh,"17,000 km
Below avg","EMI from ₹19,832/mo",Petrol,Automatic,1st Owner
Volkswagen Polo GT TSI,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-gt-tsi-cars-Kolkata_318977b3-ebde-4f1e-ab77-bde8c48915d6.htm?adId=31241&adType=41,5.50L,2018,"70,000 kms",Petrol,Automatic,"Dakshindari Road, Ghoshpara, Lake Town, Kolkata","AI Expert
FAIR PRICE
3rd owner, 70k km, no tampering on this Polo GT TSI.
Simple to run, easy to park.
Read full report",₹5.50 Lakh,"70,000 km","EMI from ₹13,652/mo",Petrol,Automatic,3rd Owner
Hyundai Tucson GLS AT,https://www.cardekho.com/used-car-details/used-Hyundai-tucson-gls-at-cars-Kolkata_b4195f4e-d5a4-47fd-8172-0e6f36e933be.htm,14L,2022,"34,148 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km, no accident — history is traceable on this Tucson.
Hyundai has a wide service network across India.
Read full report",₹14 Lakh,"34,148 km
Below avg","EMI from ₹34,749/mo",Petrol,Automatic,1st Owner
Honda CR-V 2.4 MT,https://www.cardekho.com/used-car-details/used-Honda-cr-v-24-mt-cars-Kolkata_5cf54f98-0d1c-42a1-aaff-d8dc025289ca.htm,2.80L,2007,"75,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
2nd owner, 75k km — history looks solid on this CR-V.
Honda engines are known to last well over high km.
Read full report",₹2.80 Lakh,"75,000 km",,Petrol,Manual,2nd Owner
Honda City i-VTEC SV,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-sv-cars-Kolkata_6ac43f85-8668-4687-af88-3ef9e0d5b4b2.htm,4.58L,2019,"41,605 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 42k km — papers are clean on this City.
Price dropped ₹40k — now at ₹4.6L.
Read full report",₹4.58 Lakh,"41,605 km
Below avg","EMI from ₹11,368/mo",Petrol,Manual,1st Owner
Maruti Suzuki Zen Estilo LXI,https://www.cardekho.com/used-car-details/used-Maruti-zen-estilo-lxi-cars-Kolkata_276458b4-404f-4a65-9935-9f7ae07f9d86.htm?adId=33059&adType=41,1.25L,2012,"50,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 50k km — key checks pass on this Zen Estilo.
Maruti service is available in almost every city and town.
Read full report",₹1.25 Lakh,"50,000 km",,Petrol,Manual,1st Owner
Hyundai Alcazar Platinum AE Turbo 7Str,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-platinum-ae-turbo-7str-cars-Kolkata_91235a2b-a2f7-473c-b99a-c037319c08b4.htm,13.55L,2023,"26,064 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 26k km — records look solid on this Alcazar.
300-point inspection done. Warranty included.
Read full report",₹13.55 Lakh,"26,064 km
Below avg","EMI from ₹33,632/mo",Petrol,Manual,1st Owner
Toyota Corolla Altis G MT,https://www.cardekho.com/used-car-details/used-Toyota-corolla-altis-g-mt-cars-Kolkata_845acac0-0a79-438f-873a-cec14e4da183.htm,4.99L,2017,"70,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 70k km — documents are clean on this Corolla Altis.
Toyota's reliability reputation makes it a strong .
Read full report",₹4.99 Lakh,"70,000 km","EMI from ₹15,459/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_80567d4d-603e-495e-acee-77812b176c04.htm,2.15L,2012,"55,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
BELOW MARKET
1st owner, 55k km — key checks pass on this Swift.
Simple to run, easy to park.
Read full report",₹2.15 Lakh,"55,000 km",,Petrol,Manual,1st Owner
Nissan Magnite Turbo XV BSVI,https://www.cardekho.com/used-car-details/used-Nissan-magnite-turbo-xv-bsvi-cars-Kolkata_a5fdbd4b-d911-40eb-837a-d349650b334b.htm?adId=32804&adType=41,4.99L,2022,"43,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 43k km — papers are clean on this Magnite.
Nissan Magnite offers a feature-rich cabin for its price segment.
Read full report",₹4.99 Lakh,"43,000 km
Below avg","EMI from ₹12,386/mo",Petrol,Manual,1st Owner
Volkswagen Taigun 1.5 TSI GT Plus DSG,https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-15-tsi-gt-plus-dsg-cars-Kolkata_bd68c9af-17cf-437e-a1c4-e95b07d75ad3.htm,8.99L,2022,"50,000 kms",Petrol,Automatic,"Ghose Bagan, Kolkata","AI Expert
BELOW MARKET
1st owner, 50k km — papers are clean on this Taigun.
₹1.3L below what similar Taiguns sell for.
Read full report",₹8.99 Lakh,"50,000 km","EMI from ₹22,314/mo",Petrol,Automatic,1st Owner
Volvo S60 Cross Country D4 AWD BSIV,https://www.cardekho.com/used-car-details/used-Volvo-s60-cross-country-d4-awd-bsiv-cars-Kolkata_fe9a1f55-4688-4c6e-8407-1890de47ee75.htm,16.65L,2017,"66,452 kms",Diesel,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 66k km — clean readings on this S60 Cross Country.
Read the full verdict before you decide.
Read full report",₹16.65 Lakh,"66,452 km","EMI from ₹51,580/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Ertiga VXI,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-vxi-cars-Kolkata_8da107ae-9358-4cfe-9f14-83be3dc07fcd.htm,3.15L,2013,"60,000 kms",Petrol,Manual,"Parnasree Pally, Kolkata","AI Expert
GREAT PRICE
4 owners, 60k km on this Ertiga — records look solid.
Maruti service is available in almost every city and town.
Read full report",₹3.15 Lakh,"60,000 km",,Petrol,Manual,4th Owner
Mahindra Scorpio S10 8 Seater,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s10-8-seater-cars-Kolkata_75a3ac82-58d1-4b69-af6f-628b058c7a54.htm?adId=32927&adType=41,8.25L,2016,"38,000 kms",Diesel,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 38k km on this Scorpio — papers look clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹8.25 Lakh,"38,000 km","EMI from ₹35,831/mo",Diesel,Manual,1st Owner
Hyundai Creta 1.4 E Plus,https://www.cardekho.com/used-car-details/used-Hyundai-creta-14-e-plus-cars-Kolkata_5e64f16d-466b-4305-90c4-1e6d91585039.htm,5.99L,2017,"62,706 kms",Diesel,Manual,"Salt Lake City, Kolkata","AI Expert
ABOVE MARKET
1st owner, 63k km on this Creta — documents are clean.
Creta holds resale value well — a strong reason to move now.
Read full report",₹5.99 Lakh,"62,706 km","EMI from ₹18,557/mo",Diesel,Manual,1st Owner
MG Hector Plus Sharp Pro Diesel 2023-2025,https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-diesel-2023-2025-cars-Kolkata_60a65104-5d30-40ba-ba50-36233d25ed3f.htm,17L,2024,"12,307 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 12k km — ownership is clean on this Hector Plus.
2 year old, only 12k km — near-new in every sense.
Read full report",₹17 Lakh,"12,307 km
Below avg","EMI from ₹42,195/mo",Diesel,Manual,1st Owner
Maruti Suzuki Ignis 1.2 Zeta BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ignis-12-zeta-bsiv-cars-Kolkata_605ff5a4-9520-4986-bfcb-844d0b9d1c2d.htm,3.95L,2018,"42,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
FAIR PRICE
2nd owner, 42k km, verified fitness — records look solid on this Ignis.
Maruti service is available in almost every city and town.
Read full report",₹3.95 Lakh,"42,000 km","EMI from ₹9,804/mo",Petrol,Manual,2nd Owner
Hyundai Santro Sportz BSIV,https://www.cardekho.com/used-car-details/used-Hyundai-santro-sportz-bsiv-cars-Kolkata_47c01548-ce12-44dd-a1b0-2203fe9ad666.htm?adId=32944&adType=41,3.05L,2019,"30,000 kms",Petrol,Manual,"Sector III, Bidhannagar, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident, 30k km — records look solid on this Santro.
Simple to run, easy to park.
Read full report",₹3.05 Lakh,"30,000 km","EMI from ₹7,571/mo",Petrol,Manual,2nd Owner
Volkswagen Taigun 1.0 Topline,https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-10-topline-cars-Kolkata_31b0abc9-7167-497b-8f38-e3a9c45d7b0d.htm,9.50L,2023,"41,622 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 42k km — records look solid on this Taigun.
Comprehensive insurance — valid till March 2027.
Read full report",₹9.50 Lakh,"41,622 km","EMI from ₹23,583/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Baleno Zeta,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cars-Kolkata_ceff0389-889e-4b2c-951e-2c849ec0b684.htm,4.73L,2020,"56,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident — 56k km on this Baleno.
Simple to run, easy to park.
Read full report",₹4.73 Lakh,"56,000 km","EMI from ₹11,740/mo",Petrol,Manual,2nd Owner
Renault KWID 1.0 RXT BSIV,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-bsiv-cars-Kolkata_e5d5a80a-5169-4fe9-92c7-677408fa03ab.htm,2.25L,2019,"22,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
2nd owner, 22k km — key checks pass on this KWID.
Simple to run, easy to park.
Read full report",₹2.25 Lakh,"22,000 km
Below avg","EMI from ₹5,585/mo",Petrol,Manual,2nd Owner
Kia Seltos HTX Plus Turbo DCT,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-plus-turbo-dct-cars-Kolkata_0e11b48e-7260-483d-9087-6b6b1a6de38e.htm?adId=24952&adType=41,14.20L,2024,"20,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 20k km — documents are clean on this Seltos.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹14.20 Lakh,"20,000 km
Below avg","EMI from ₹35,245/mo",Petrol,Automatic,1st Owner
Skoda Octavia 1.8 TSI AT Style,https://www.cardekho.com/used-car-details/used-Skoda-octavia-18-tsi-at-style-cars-Kolkata_4fb8ed05-3549-42b7-ae85-ac329d5dad0a.htm,10.25L,2019,"61,587 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 62k km — ownership and odometer look solid on this Octavia.
Skoda Superb offers executive-level cabin quality at used-car pricing.
Read full report",₹10.25 Lakh,"61,587 km","EMI from ₹25,441/mo",Petrol,Automatic,1st Owner
